trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
148,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.72276408163047,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
149,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.20883543409299,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
150,False,"{'a': 0.5, 'e': 1.0}",20,12,-18.428506658040252,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.80178790934045,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
152,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.77674858420255,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
153,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.05325705413676,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
154,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.05376625667822,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
155,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.21269264067885,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
156,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.61810885712566,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
157,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.5654962935972,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
158,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.30592031300841,"{0: 15, 1: 5, 2: 7, 3: 2, 4: 1}",0
159,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.12686768805722,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
160,False,"{'a': 0.5, 'e': 1.0}",25,0,-198.902206007215,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
161,False,"{'a': 0.5, 'e': 1.0}",30,0,-283.37822062410396,"{0: 14, 1: 4, 2: 4, 3: 4, 4: 4}",0
162,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.3584048157476,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
163,False,"{'a': 0.5, 'e': 1.0}",30,0,-156.0075081235404,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
164,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.06667914724056,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
