trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
118,False,"{'a': 0.5, 'e': 0.5535075230322891}",25,0,-48.98520969662457,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.5507399854171277}",25,0,-35.69717520321828,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.547986285490042}",25,12,-3.263546664315715,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.5452463540625918}",30,0,-47.24322746395098,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.5425201222922789}",25,17,14.33925155952306,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.5398075216808175}",35,24,-4.436958107076649,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.5371084840724134}",20,0,-77.50213095330987,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.5344229416520513}",25,0,-23.890089032218576,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.531750826943791}",20,8,-39.96920154506359,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.5290920728090721}",25,13,20.21694764327537,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.5264466124450268}",20,0,-40.75099530808659,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.5238143793828016}",20,9,-103.27066314933187,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 2}",1
130,False,"{'a': 0.5, 'e': 0.5211953074858876}",20,0,-26.528763424066913,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
